SPEED,CAR_NOT_TRUCK,DISTRACTED,COMMERCIAL,WANT_TO_SPEED
56.1,0,1,1,0
68.7,0,0,1,1
62.7,0,0,1,1
63.8,0,0,1,0
70.8,0,0,1,1
64.1,0,0,1,0
68.1,0,0,1,1
57.1,0,1,1,0
67.9,0,0,1,1
67.1,1,0,0,1
64.9,0,0,1,1
58.6,0,0,1,0
64.4,0,0,1,1
54.8,0,0,1,0
57.6,0,0,1,0
57.4,0,0,1,1
64.6,0,0,1,1
57.9,0,0,1,0
51.9,1,1,0,0
64.9,0,0,1,0
56.2,0,0,1,1
66.0,0,0,1,1
56.3,1,0,0,0
54.5,0,0,1,0
64.3,0,1,1,1
64.6,0,0,1,0
62.2,1,0,0,1
52.0,1,1,0,0
62.2,0,0,1,1
67.7,0,0,1,1
55.1,0,1,1,0
66.6,0,0,1,1
51.8,0,1,1,0
58.9,0,0,1,1
58.3,1,0,0,0
73.1,1,0,0,1
65.8,0,0,1,1
70.4,0,0,1,1
57.3,0,0,1,0
61.9,0,0,1,0
69.4,1,0,0,1
53.9,1,0,0,0
60.5,0,1,1,1
59.6,0,0,1,0
71.1,0,0,1,1
59.8,0,1,1,0
58.7,0,0,1,0
50.5,0,0,1,0
51.1,1,0,0,0
64.3,1,0,0,1
53.0,0,0,1,0
74.3,1,0,0,1
69.8,1,0,0,1
56.7,0,1,1,0
51.4,1,1,0,0
62.1,0,0,1,0
64.2,1,0,0,1
64.2,0,1,1,1
50.6,1,0,0,0
64.0,0,0,1,1
53.6,0,0,1,0
68.3,0,0,1,1
61.5,1,0,0,0
71.8,0,0,1,1
67.9,0,1,1,1
57.4,0,0,1,0
64.4,0,0,1,1
66.0,0,0,1,1
57.9,1,0,0,0
61.5,0,0,1,0
67.3,0,0,1,1
63.2,0,0,1,1
51.3,1,0,0,0
59.5,0,1,1,1
58.3,0,0,1,1
61.6,0,0,1,1
59.7,0,1,1,1
62.1,0,0,1,1
58.7,0,1,1,0
61.8,0,0,1,1
60.4,0,0,1,0
62.9,0,0,1,1
56.4,1,0,0,0
59.7,1,0,0,0
52.4,1,1,0,1
62.3,1,0,0,0
52.8,0,1,1,0
62.2,0,0,1,0
64.5,0,0,1,1
71.6,1,0,0,1
63.5,1,0,0,0
63.7,0,0,1,1
50.6,0,0,1,0
60.2,0,0,1,1
67.7,0,0,1,1
64.8,0,0,1,1
54.6,0,0,1,0
55.8,0,0,1,0
68.5,1,0,0,1
61.4,0,0,1,0
60.1,0,0,1,0
62.9,0,0,1,1
73.0,1,0,0,1
66.9,0,1,1,0
64.2,0,0,1,1
52.4,1,0,0,0
66.4,0,1,1,1
62.9,0,0,1,1
46.2,0,1,1,0
62.2,0,0,1,1
54.0,0,0,1,0
62.6,1,1,0,1
55.0,0,0,1,0
50.3,1,0,0,0
50.3,0,0,1,0
57.8,0,0,1,0
60.3,0,0,1,1
61.5,0,0,1,0
64.8,0,0,1,1
74.7,1,0,0,1
69.9,0,0,1,1
74.5,1,0,0,1
61.8,0,0,1,0
65.6,0,0,1,1
60.1,0,1,1,1
74.3,1,0,0,1
66.9,0,0,1,1
51.2,0,1,1,0
68.4,0,0,1,1
67.5,0,0,1,1
58.9,0,0,1,0
60.5,1,0,0,1
74.5,0,0,1,1
50.4,0,0,1,0
64.6,0,0,1,1
70.6,0,0,1,1
60.6,0,0,1,0
55.5,0,0,1,0
71.3,0,0,1,1
62.2,1,1,0,1
48.7,0,0,1,0
69.3,0,0,1,1
60.3,0,0,1,0
57.3,0,0,1,0
66.5,0,0,1,1
58.8,0,0,1,1
68.0,0,0,1,1
52.5,0,1,1,0
66.6,1,0,0,1
62.4,0,0,1,1
50.6,0,0,1,0
52.9,0,0,1,0
72.0,0,0,1,1
61.7,0,0,1,0
60.3,0,0,1,1
60.8,1,0,0,1
60.4,0,0,1,0
52.5,1,1,0,0
59.7,0,0,1,1
60.7,0,0,1,0
61.8,0,0,1,0
59.5,0,0,1,0
64.5,0,0,1,0
60.5,0,0,1,0
68.3,1,0,0,1
53.1,0,1,1,1
57.6,0,0,1,1
64.1,0,1,1,1
62.7,0,0,1,1
64.0,0,0,1,0
69.1,0,0,1,1
57.2,0,0,1,0
58.0,0,0,1,1
63.1,0,1,1,1
61.4,1,0,0,0
61.7,0,0,1,0
64.0,1,0,0,1
65.7,0,0,1,1
59.1,0,1,1,1
63.7,1,0,0,0
56.7,0,0,1,0
71.0,0,0,1,1
68.7,1,0,0,1
51.6,0,0,1,0
55.9,0,0,1,0
68.9,0,0,1,1
74.5,0,0,1,1
51.5,1,0,0,0
57.7,0,1,1,1
62.7,0,0,1,1
58.1,0,0,1,0
66.0,0,0,1,1
71.3,0,0,1,1
53.7,0,0,1,0
67.0,0,0,1,1
51.8,0,0,1,0
70.8,0,0,1,1
48.8,0,0,1,0
72.9,0,0,1,1
64.9,0,0,1,1
54.0,0,0,1,0
66.6,0,0,1,1
51.1,0,0,1,0
56.8,0,0,1,0
72.2,0,0,1,1
58.3,0,0,1,1
58.1,0,0,1,0
70.9,0,1,1,1
60.6,0,1,1,1
54.5,0,0,1,0
52.8,0,0,1,0
62.7,0,0,1,1
69.8,0,0,1,0
57.1,1,0,0,0
64.4,0,0,1,1
58.1,1,0,0,1
70.1,0,0,1,1
58.1,0,0,1,0
56.4,0,1,1,1
58.5,0,0,1,0
65.7,0,0,1,1
67.1,0,0,1,1
63.3,0,0,1,0
52.8,1,1,0,0
52.7,0,1,1,0
52.3,0,1,1,0
68.8,0,0,1,1
65.3,0,0,1,1
73.9,0,0,1,1
63.0,0,0,1,1
57.2,0,1,1,0
55.4,1,0,0,0
72.9,0,0,1,1
60.2,0,0,1,1
71.8,0,0,1,1
65.1,0,0,1,1
60.1,0,0,1,0
65.1,0,0,1,1
58.9,1,0,0,0
52.1,0,0,1,0
50.9,0,1,1,0
52.3,0,0,1,0
58.7,1,0,0,0
67.6,0,0,1,1
63.1,1,0,0,1
62.8,0,0,1,0
65.0,1,0,0,1
70.2,1,0,0,1
50.6,0,1,1,0
59.5,1,0,0,0
60.3,0,1,1,0
62.4,0,0,1,0
58.1,0,0,1,1
54.1,0,0,1,0
63.4,0,0,1,0
51.8,1,1,0,0
65.2,0,0,1,1
60.8,1,0,0,1
62.2,1,0,0,0
69.9,0,0,1,1
61.1,0,0,1,1
64.6,0,0,1,1
60.5,0,0,1,1
65.9,0,0,1,1
52.6,0,0,1,0
58.7,1,0,0,0
65.7,0,0,1,0
51.5,0,0,1,0
74.0,0,0,1,1
66.0,0,0,1,1
57.8,0,0,1,0
50.8,0,0,1,0
56.6,0,0,1,0
63.8,0,0,1,1
71.7,0,0,1,1
68.3,1,0,0,1
56.8,0,0,1,0
62.5,1,0,0,0
59.5,0,0,1,0
60.0,0,0,1,1
49.1,1,0,0,0
51.6,0,1,1,0
61.3,0,0,1,0
61.5,0,0,1,1
65.6,0,0,1,0
57.7,0,0,1,1
59.9,0,0,1,0
59.8,0,0,1,1
51.0,0,1,1,0
64.6,0,0,1,1
64.2,0,1,1,1
58.9,1,0,0,1
51.2,1,1,0,0
63.8,0,0,1,0
59.2,0,0,1,0
50.8,0,1,1,0
69.6,0,0,1,1
54.7,1,1,0,0
57.1,0,0,1,0
62.4,0,1,1,1
